"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1925402793508270309","Thu May 22 04:06:12 +0000 2025","5","11.04 Situasi arus lalu lintas di Ruas Tol Dalam Kota (Gerbang Tol Kuningan 1) arah Cawang maupun arah Grogol terpantau cukup padat. https://t.co/Qpr9rBr3OL","1925402793508270309","https://pbs.twimg.com/media/GrhnoP0boAAKset.jpg","","in","","0","0","0","https://x.com/undefined/status/1925402793508270309","76647722",
"1925387363649499299","Thu May 22 03:04:54 +0000 2025","4","10.04 Saat ini Kegiatan Penyampaian Pendapat di Kawasan Monas Barat Daya Jl. Medan Merdeka Barat Jakpus masih berlangsung Untuk Situasi arus lalu lintas menuju arah Jl. MH Thamrin maupun arah Jl. Medan Merdeka Selatan terpantau masih ramai lancar. https://t.co/oeUm0ewZXW","1925387363649499299","https://pbs.twimg.com/media/GrhZmG4aEAAPO_y.jpg","","in","","0","0","2","https://x.com/undefined/status/1925387363649499299","76647722",
"1925375177757794690","Thu May 22 02:16:28 +0000 2025","5","09.16 Situasi arus lalu lintas di Ruas Tol Jakarta-Tangerang KM 01+200 arah Tomang terpantau cukup padat sedangkan arah Meruya terpantau lancar. https://t.co/FCg8BKJoKF","1925375177757794690","https://pbs.twimg.com/media/GrhOgywboAMZa_l.jpg","","in","","0","0","1","https://x.com/undefined/status/1925375177757794690","76647722",
"1925372864922099776","Thu May 22 02:07:17 +0000 2025","4","09.06 Kegiatan Proses Evakuasi Kendaraan Truk Muatan Hebel yang mengalami Gangguan di Kolong Flyover depan Hotel Peninsula Jl. S. Parman Jakbar Situasi arus lalu lintas menuju arah Tomang maupun arah Slipi terpantau masih ramai lancar. https://t.co/TmdkDLhKUL","1925372864922099776","https://pbs.twimg.com/media/GrhMaRLboAMCCoQ.jpg","","in","","0","0","1","https://x.com/undefined/status/1925372864922099776","76647722",
"1925365265023606835","Thu May 22 01:37:05 +0000 2025","0","08.37 Situasi arus lalu lintas di Ruas Tol Dalam Kota KM 00+600 (Cawang) arah Pancoran terpantau padat sedangkan arah Cikampek terpantau lancar. https://t.co/KwD4kc2EP5","1925365265023606835","https://pbs.twimg.com/media/GrhFethboAAcpe0.jpg","","in","","0","0","0","https://x.com/undefined/status/1925365265023606835","76647722",
"1925363422671380534","Thu May 22 01:29:46 +0000 2025","1","08.29 Situasi arus lalu lintas di Traffic Light Caringin Jl. Suryopranoto Jakpus arah Harmoni maupun arah Jembatan Lima terpantau ramai lancar. https://t.co/CsUGxtuo3q","1925363422671380534","https://pbs.twimg.com/media/GrhD0mfaEAADyod.jpg","","in","","0","0","0","https://x.com/undefined/status/1925363422671380534","76647722",
"1925357907266490794","Thu May 22 01:07:51 +0000 2025","2","08.06 Situasi arus lalu lintas di Traffic Light Kolong Cakung Jaktim arah Cilincing maupun arah Bekasi terpantau ramai cenderung padat. https://t.co/dVOX2iN0M2","1925357907266490794","https://pbs.twimg.com/media/Grg-zfTbMAEnN41.jpg","","in","","0","0","1","https://x.com/undefined/status/1925357907266490794","76647722",
"1925353467184652408","Thu May 22 00:50:12 +0000 2025","1","07.15 Situasi arus lalu lintas di Interchange Pluit arah Grogol maupun arah Bandara Soekarno Hatta terpantau lancar. https://t.co/VKcMYXCK3J","1925353467184652408","https://pbs.twimg.com/media/Grg6xGyboAA1hbl.jpg","","in","","0","1","0","https://x.com/undefined/status/1925353467184652408","76647722",
"1925350223792206100","Thu May 22 00:37:19 +0000 2025","2","07.00 Situasi arus lalu lintas di Traffic Light Halim Baru Jakarta Timur terpantau ramai lancar. https://t.co/VGkg3IqDD5","1925350223792206100","https://pbs.twimg.com/media/Grg30Q6boAQ1-MC.jpg","","in","","0","1","0","https://x.com/undefined/status/1925350223792206100","76647722",
"1925241666698727458","Wed May 21 17:25:57 +0000 2025","1","23.19 Situasi arus lalu-lintas malam hari di sekitaran ruas Tol JORR Ampera Km. 25+500 dari Cilandak mengarah Pasar Rebo terjadi perlambatan imbas adanya pekerjaan perbaikan jalan. https://t.co/y5QadFVf3X","1925241666698727458","https://pbs.twimg.com/amplify_video_thumb/1925241568744841216/img/U0g58xS2qp8b0Cfk.jpg","","in","","0","1","0","https://x.com/undefined/status/1925241666698727458","76647722",
"1925221093121601947","Wed May 21 16:04:12 +0000 2025","0","22.46 Situasi arus lalu-lintas malam hari di sekitaran ruas Tol JORR exit Koja Jampea dari Cakung mengarah arteri Koja - Jampea terpantau ramai cenderung padat sedangkan yang mengarah Kebon Bawang dan Tj. Priok terpantau ramai lancar. https://t.co/yOhmoNA3mj","1925221093121601947","https://pbs.twimg.com/amplify_video_thumb/1925221009017458688/img/L7rh6zN739vpmGVs.jpg","","in","","0","0","0","https://x.com/undefined/status/1925221093121601947","76647722",
"1925215488013152729","Wed May 21 15:41:55 +0000 2025","6","22.33 Situasi arus lalu-lintas malam hari di sekitaran ruas Tol JORR exit Cakung Timur dari Cikunir mengarah arteri Cakung - Cilincing terpantau ramai cenderung padat sedangkan yang mengarah Tj. Priok dan Rorotan terpantau ramai lancar. https://t.co/o6k8USQOUE","1925215488013152729","https://pbs.twimg.com/amplify_video_thumb/1925215254319190016/img/R8ZNSwGijxM_1vdp.jpg","","in","","0","1","1","https://x.com/undefined/status/1925215488013152729","76647722",
"1925189155732291656","Wed May 21 13:57:17 +0000 2025","1","20.50 Situasi arus lalu-lintas di sekitaran GT. Senayan baik arteri Jl. Gatot Subroto maupun ruas Tol Dalam Kota mengarah Tomang terpantau ramai cenderung padat. https://t.co/Sbjy7wkoDI","1925189155732291656","https://pbs.twimg.com/amplify_video_thumb/1925188967353425920/img/Tr0Zx5mKcdMLIcld.jpg","","in","","0","0","0","https://x.com/undefined/status/1925189155732291656","76647722",
"1925154520755228908","Wed May 21 11:39:40 +0000 2025","3","18.37 Situasi arus lalu lintas di Kolong Cakung Cilincing arah Bekasi terpantau ramai lancar https://t.co/HvRK48utQZ","1925154520755228908","https://pbs.twimg.com/amplify_video_thumb/1925154476735995904/img/ABPuneHEEADlbV0Y.jpg","","in","","0","0","0","https://x.com/undefined/status/1925154520755228908","76647722",
"1925079093969879439","Wed May 21 06:39:56 +0000 2025","3","Situasi arus lalu lintas di Ruas Tol Sedyatmo KM 27+600 terpantau ramai lancar. https://t.co/6sNxVrdJ8g","1925079093969879439","https://pbs.twimg.com/media/GrdBOR1aEAAVfhL.jpg","","in","","0","0","0","https://x.com/undefined/status/1925079093969879439","76647722",
"1925059680768033037","Wed May 21 05:22:48 +0000 2025","1","Situasi arus lalu lintas di Ruas Tol Jakarta-Tangerang KM 02+100 menuju arah Tomang terpantau padat sedangkan arah sebaliknya ramai lancar. https://t.co/IMZl3VZhDp","1925059680768033037","https://pbs.twimg.com/media/GrcvkbQa8AA-zJ-.jpg","","in","","0","0","0","https://x.com/undefined/status/1925059680768033037","76647722",
"1925038751253959022","Wed May 21 03:59:38 +0000 2025","2","Situasi arus lalu lintas di kawasan Bundaran Patung Kuda terpantau ramai lancar Cuaca saat ini diguyur hujan. https://t.co/wFlDsdVGqs","1925038751253959022","https://pbs.twimg.com/media/GrcciN8bAAE5kXX.jpg","","in","","0","0","0","https://x.com/undefined/status/1925038751253959022","76647722",
"1925030788451729647","Wed May 21 03:27:59 +0000 2025","3","Situasi arus lalu lintas di Ruas Tol Dalam Kota Pancoran arah Semanggi terpantau padat sedangkan arah Cawang ramai lancar. Cuaca saat ini diguyur hujan jaga jarak aman kendaraan anda. https://t.co/YV1qUxvY27","1925030788451729647","https://pbs.twimg.com/media/GrcVR7KbAAIgq7U.jpg","","in","","0","0","0","https://x.com/undefined/status/1925030788451729647","76647722",
"1925026258116894827","Wed May 21 03:09:59 +0000 2025","5","10.09 Polri melaksanakan kamseltibcar lantas Kegiatan penyampaian pendapat di kawasan Silang Monas Barat Daya Jakarta Pusat situasi arus lalu lintas terpantau ramai lancar. https://t.co/r10T7VGIGZ","1925026258116894827","https://pbs.twimg.com/media/GrcQ2zybAAEl5_7.jpg","","in","","0","1","0","https://x.com/undefined/status/1925026258116894827","76647722",
"1925014898146476433","Wed May 21 02:24:51 +0000 2025","3","09.24 Kegiatan penyampaian pendapat di kawasan Bundaran Patung Kuda Monas Jakarta Pusat situasi arus lalu lintas terpantau ramai lancar. https://t.co/xeXNAG6G4i","1925014898146476433","https://pbs.twimg.com/media/GrcG0JcbUAAr9u8.jpg","","in","","0","0","0","https://x.com/undefined/status/1925014898146476433","76647722",
"1925014004097024457","Wed May 21 02:21:18 +0000 2025","2","09.21 Situasi arus lalu lintas di Traffic light Perdatam Jalan Raya Pasar Minggu menuju arah Pancoran/Kalibata terpantau ramai lancar. https://t.co/LIGG06lMXT","1925014004097024457","https://pbs.twimg.com/media/GrcGBxQa0AAQurh.jpg","","in","","0","1","0","https://x.com/undefined/status/1925014004097024457","76647722",
"1925013471865012491","Wed May 21 02:19:11 +0000 2025","2","09.18 Petugas Sat Lantas Jakarta Barat melakukan pengaturan dan antisipasi pengendara lawan arus di sekitar pintu air Cengkareng Jakarta Barat situasi arus lalu lintas terpantau ramai lancar. https://t.co/vqzgobW2T5","1925013471865012491","https://pbs.twimg.com/media/GrcFiiSaoAAoEQn.jpg","","in","","0","0","0","https://x.com/undefined/status/1925013471865012491","76647722",
"1924987851374264606","Wed May 21 00:37:22 +0000 2025","5","07.36 Situasi arus lalu lintas di Traffic Light Grogol Jakbar arah Latumenten maupun arah Tomang terpantau ramai lancar. https://t.co/WBQG71XVQr","1924987851374264606","https://pbs.twimg.com/media/GrbuPnxbAAAf52_.jpg","","in","","0","0","0","https://x.com/undefined/status/1924987851374264606","76647722",
"1924980601897287943","Wed May 21 00:08:34 +0000 2025","2","07.07 Situasi arus lalu lintas di Traffic Light Garuda Tamini Square Jaktim arah HEK maupun arah TMII terpantau ramai lancar. https://t.co/rZ3nnyfP2x","1924980601897287943","https://pbs.twimg.com/media/Grbnpk6bgAAxUVK.jpg","","in","","0","0","0","https://x.com/undefined/status/1924980601897287943","76647722",
"1924973580112232604","Tue May 20 23:40:40 +0000 2025","2","06.40 Situasi arus lalu-lintas di Kawasan Bundaran HI Jakpus arah Jl. MH Thamrin maupun arah Jl. Imam Bonjol terpantau ramai lancar. https://t.co/xG88kpnx3x","1924973580112232604","https://pbs.twimg.com/media/GrbhQuJbAAAaFZ8.jpg","","in","","0","0","0","https://x.com/undefined/status/1924973580112232604","76647722",
"1924972462762340494","Tue May 20 23:36:14 +0000 2025","3","06.35 Situasi arus lalu-lintas di Traffic Light Fatmawati Jaksel arah Cilandak maupun arah Lebak Bulus terpantau ramai lancar. https://t.co/9v0APMzhjJ","1924972462762340494","https://pbs.twimg.com/media/GrbgPqra8AABhJf.jpg","","in","","0","0","0","https://x.com/undefined/status/1924972462762340494","76647722",
"1924966137298812974","Tue May 20 23:11:05 +0000 2025","1","06.10 Situasi arus lalu-lintas di Traffic Light Cengkareng Jakbar arah Pesing maupun arah Kalideres terpantau ramai lancar. https://t.co/FbJeXyiZha","1924966137298812974","https://pbs.twimg.com/media/GrbZ3PTa4AEEluJ.jpg","","in","","0","0","0","https://x.com/undefined/status/1924966137298812974","76647722",
"1924964795578777959","Tue May 20 23:05:46 +0000 2025","2","06.05 Situasi arus lalu-lintas di Traffic Light Relasi Jl. Panjang Kebon Jeruk Jakbar arah Joglo maupun arah Palmerah terpantau ramai lancar. https://t.co/1JM7XfYOn8","1924964795578777959","https://pbs.twimg.com/media/GrbZRg5akAA2Bt4.jpg","","in","","0","0","0","https://x.com/undefined/status/1924964795578777959","76647722",
"1924962099375309171","Tue May 20 22:55:03 +0000 2025","2","05.54 Situasi arus lalu-lintas di Traffic Light Kebon Baru Cilincing arah Marunda maupun arah Tanjung Priok terpantau ramai lancar. https://t.co/MHcqWEfWCD","1924962099375309171","https://pbs.twimg.com/media/GrbW0ZtbAAAc9rs.jpg","","in","","0","0","0","https://x.com/undefined/status/1924962099375309171","76647722",
"1924870458496975201","Tue May 20 16:50:54 +0000 2025","4","23.50 Unit Satlantas Jakarta Pusat melaksanakan Patroli Gabungan Cipta Kondisi serta penutupan arus lalu lintas Antisipasi Kegiatan Balap Liar di Kawasan Monas Timur Jakarta Pusat situasi terpantau kondusif. https://t.co/yvsfA5zkwH","1924870458496975201","https://pbs.twimg.com/media/GraDefxasAATu--.jpg","","in","","0","0","1","https://x.com/undefined/status/1924870458496975201","76647722",
"1924865072264053062","Tue May 20 16:29:30 +0000 2025","1","23.27 Unit Satlantas Jakarta Selatan melaksanakan penutupan dan pengalihan Arus Lalu lintas di JlNT Casablanca wilayah Polres Metro Jakarta Selatan situasi terpantau aman dan kondusif. https://t.co/VAC7a4nq6l","1924865072264053062","https://pbs.twimg.com/media/GrZ-hkwbEAAxujS.jpg","","in","","0","0","0","https://x.com/undefined/status/1924865072264053062","76647722",
"1924855409128710355","Tue May 20 15:51:06 +0000 2025","4","22.48 Situasi arus lalu-lintas di Jalur Arteri Depan Gandaria City arah Pondok Indah Jaksel terpantau ramai lancar. https://t.co/wHvCh5o7GK","1924855409128710355","https://pbs.twimg.com/media/GrZ1xiNbAAQy2fV.jpg","","in","","0","0","0","https://x.com/undefined/status/1924855409128710355","76647722",
"1924822910537236588","Tue May 20 13:41:58 +0000 2025","2","20.41 Situasi arus lalu-lintas di Jalur Arteri Jl. Raya Cakung Cilincing Barat Jaktim terpantau cukup padat . https://t.co/oZ5oBxCoS0","1924822910537236588","https://pbs.twimg.com/media/GrZYOo2bAAQKNxh.jpg","","in","","0","0","0","https://x.com/undefined/status/1924822910537236588","76647722",
"1924815424551846237","Tue May 20 13:12:13 +0000 2025","1","20.10 Situasi arus lalu-lintas di Jalur Arteri Jl. Cakung Jaktim dari arah Pulogadung menuju Ujung Menteng Bekasi terpantau cukup padat. https://t.co/jR3hn2zgwg","1924815424551846237","https://pbs.twimg.com/media/GrZRaxjbwAAnhLi.jpg","","in","","0","0","1","https://x.com/undefined/status/1924815424551846237","76647722",
"1924794589770367212","Tue May 20 11:49:25 +0000 2025","1","18.30 Situasi arus lalu lintas di depan Pintu 10 GBK Jl. Gerbang Pemuda arah Traffic Light Lapangan Tembak terpantau lancar. https://t.co/9MdSsZ7sTm","1924794589770367212","https://pbs.twimg.com/media/GrY-d2KbsAAXVzc.jpg","","in","","0","0","0","https://x.com/undefined/status/1924794589770367212","76647722",
"1924793445887181021","Tue May 20 11:44:53 +0000 2025","1","18.00 Situasi arus lalu lintas di Traffic Light Simpang Lima Senen Jakarta Pusat terpantau lancar. https://t.co/4sBJqPVA5E","1924793445887181021","https://pbs.twimg.com/media/GrY9bMPaIAAEmja.jpg","","in","","0","0","0","https://x.com/undefined/status/1924793445887181021","76647722",
"1924759624118632714","Tue May 20 09:30:29 +0000 2025","2","16.20 Situasi arus lalu lintas di Traffic Light Halim Baru arah Uki Cawang terpantau lancar. https://t.co/Gi3H9SwEex","1924759624118632714","https://pbs.twimg.com/media/GrYeq00aMAAkXuR.jpg","","in","","0","0","1","https://x.com/undefined/status/1924759624118632714","76647722",
"1924758619977031824","Tue May 20 09:26:29 +0000 2025","1","16.14 Situasi arus lalu lintas di Traffic Light Kebon Baru Jakarta Utara terpantau lancar. https://t.co/QUMura2R4f","1924758619977031824","https://pbs.twimg.com/media/GrYdweqbAAEGPfy.jpg","","in","","0","0","0","https://x.com/undefined/status/1924758619977031824","76647722",
"1924757773042254258","Tue May 20 09:23:08 +0000 2025","2","15.52 Situasi arus lalu lintas di Traffic Light Caglak arah Pasar Rebo dan sebaliknya arah Tj.Barat terpantau lancar. https://t.co/1akmx5IMHW","1924757773042254258","https://pbs.twimg.com/media/GrYc_BHagAAGB8C.jpg","","in","","0","0","0","https://x.com/undefined/status/1924757773042254258","76647722",
